"","date","treatment","interpolation","exp_flux","exp_flux_se","gCday"
"6370",2017-10-07,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6371",2017-10-08,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6372",2017-10-09,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6373",2017-10-10,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6374",2017-10-11,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6375",2017-10-12,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6376",2017-10-13,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6377",2017-10-14,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6378",2017-10-15,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6379",2017-10-16,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6380",2017-10-17,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6381",2017-10-18,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6382",2017-10-19,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6383",2017-10-20,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6384",2017-10-21,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6385",2017-10-22,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6386",2017-10-23,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6387",2017-10-24,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6388",2017-10-25,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6389",2017-10-26,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6390",2017-10-27,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6391",2017-10-28,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6392",2017-10-29,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
"6393",2017-10-30,"NL","mean",2.45128240740741,0.126490413247245,2.5438192988
